q_mods,case_id,method,qerror,feedback_residual_mean,feedback_residual_max,stage1_ms,projection_ms,total_ms
5,sim_case_0000,stale,1.2530679161814335,0.09003995451663688,0.22104617569846413,0.0,0.0,0.0
5,sim_case_0000,fresh,1.0,0.0467116337974856,0.164697972767273,0.0,0.0,0.0
5,sim_case_0000,oasis_no_proj,1.046300652844097,0.05637692893402427,0.17714719940873186,1.0948330163955688,0.0,1.0948330163955688
5,sim_case_0000,isomer,1.077885732767534,0.03027541589172679,0.11473665844641684,0.0,21.12945809494704,21.12945809494704
5,sim_case_0000,oasis_full,1.1084114478575888,0.029484569387799513,0.11058462254791551,1.0948330163955688,20.25037503335625,21.345208049751818
5,sim_case_0000,oasis_fast_iter_25,1.1084114478575888,0.029484569387799513,0.11058462254791551,1.0948330163955688,5.0765000050887465,6.171333021484315
5,sim_case_0000,oasis_fast_iter_50,1.1084114478575888,0.029484569387799513,0.11058462254791551,1.0948330163955688,7.239333004690707,8.334166021086276
5,sim_case_0000,oasis_fast_iter_100,1.1084114478575888,0.029484569387799513,0.11058462254791551,1.0948330163955688,11.539999977685511,12.63483299408108
5,sim_case_0001,stale,1.4393471723534794,0.057051055956962526,0.18874522013673622,0.0,0.0,0.0
5,sim_case_0001,fresh,1.0,0.07620758033268825,0.22099955707598123,0.0,0.0,0.0
5,sim_case_0001,oasis_no_proj,1.2171558981941084,0.054589857967547305,0.1448258018659795,1.0438329773023725,0.0,1.0438329773023725
5,sim_case_0001,isomer,1.4386506530077843,0.056842571303078335,0.188137724054119,0.0,40.26691592298448,40.26691592298448
5,sim_case_0001,oasis_full,1.2176523139551576,0.05474495807092472,0.14668023376906758,1.0438329773023725,40.16262502409518,41.20645800139755
5,sim_case_0001,oasis_fast_iter_25,1.2176523139551576,0.05474495807092472,0.14668023376906758,1.0438329773023725,3.9419999811798334,4.985832958482206
5,sim_case_0001,oasis_fast_iter_50,1.2176523139551576,0.05474495807092472,0.14668023376906758,1.0438329773023725,11.719999951310456,12.763832928612828
5,sim_case_0001,oasis_fast_iter_100,1.2176523139551576,0.05474495807092472,0.14668023376906758,1.0438329773023725,22.94629195239395,23.99012492969632
5,sim_case_0002,stale,1.2722009343034568,0.06069784907455364,0.12410789756994475,0.0,0.0,0.0
5,sim_case_0002,fresh,1.0,0.04925078645586151,0.12961947670439583,0.0,0.0,0.0
5,sim_case_0002,oasis_no_proj,1.1413862642926969,0.03572750183774803,0.08848838427553485,0.9867500048130751,0.0,0.9867500048130751
5,sim_case_0002,isomer,1.0769566112958389,0.020304091628930675,0.0586281009385185,0.0,23.09783303644508,23.09783303644508
5,sim_case_0002,oasis_full,1.0689981873743277,0.02182030816455859,0.052633908049504574,0.9867500048130751,22.529750014655292,23.516500019468367
5,sim_case_0002,oasis_fast_iter_25,1.0689981873743277,0.02182030816455859,0.052633908049504574,0.9867500048130751,7.0950830122455955,8.08183301705867
5,sim_case_0002,oasis_fast_iter_50,1.0689981873743277,0.02182030816455859,0.052633908049504574,0.9867500048130751,10.241667041555047,11.228417046368122
5,sim_case_0002,oasis_fast_iter_100,1.0689981873743277,0.02182030816455859,0.052633908049504574,0.9867500048130751,14.330582926049829,15.317332930862904
5,sim_case_0003,stale,2.6720991410438795,0.07149468158969047,0.22798328669632018,0.0,0.0,0.0
5,sim_case_0003,fresh,1.0,0.033554273780239716,0.09021101595737235,0.0,0.0,0.0
5,sim_case_0003,oasis_no_proj,1.1285216336918356,0.028831078328402333,0.08078279769592178,0.9625419043004513,0.0,0.9625419043004513
5,sim_case_0003,isomer,1.4907756621084562,0.012550720522608043,0.03605288407115591,0.0,52.51837498508394,52.51837498508394
5,sim_case_0003,oasis_full,1.4992866314328892,0.012789973835909345,0.03609787015757675,0.9625419043004513,53.33495803643018,54.29749994073063
5,sim_case_0003,oasis_fast_iter_25,1.5289143216663472,0.01624640128640196,0.03962180398613735,0.9625419043004513,14.035540982149541,14.998082886449993
5,sim_case_0003,oasis_fast_iter_50,1.4992866314328892,0.012789973835909345,0.03609787015757675,0.9625419043004513,18.763417028822005,19.725958933122456
5,sim_case_0003,oasis_fast_iter_100,1.4992866314328892,0.012789973835909345,0.03609787015757675,0.9625419043004513,30.252124997787178,31.21466690208763
5,sim_case_0004,stale,1.2165751329323427,0.05819031673223919,0.2218147614958233,0.0,0.0,0.0
5,sim_case_0004,fresh,1.0,0.06381376837909687,0.23021653251804602,0.0,0.0,0.0
5,sim_case_0004,oasis_no_proj,1.072386412238518,0.042789015815226386,0.1121573056138408,0.9964170167222619,0.0,0.9964170167222619
5,sim_case_0004,isomer,1.1005428000467277,0.033967767850389206,0.13643741823321093,0.0,36.34175006300211,36.34175006300211
5,sim_case_0004,oasis_full,1.0824443731463238,0.03480821557282503,0.14168813466922042,0.9964170167222619,36.73595900181681,37.73237601853907
5,sim_case_0004,oasis_fast_iter_25,1.0757262454429386,0.03698519127018043,0.14649368379237376,0.9964170167222619,8.708458044566214,9.704875061288476
5,sim_case_0004,oasis_fast_iter_50,1.0824443731463238,0.03480821557282503,0.14168813466922042,0.9964170167222619,17.65270798932761,18.64912500604987
5,sim_case_0004,oasis_fast_iter_100,1.0824443731463238,0.03480821557282503,0.14168813466922042,0.9964170167222619,23.955625016242266,24.952042032964528
5,sim_case_0005,stale,1.2911101714019009,0.052353653601180446,0.16225411050521554,0.0,0.0,0.0
5,sim_case_0005,fresh,1.0,0.047798852033011964,0.1265320191490923,0.0,0.0,0.0
5,sim_case_0005,oasis_no_proj,1.1063278268358065,0.05129154822272411,0.20874694297146168,1.002916949801147,0.0,1.002916949801147
5,sim_case_0005,isomer,1.1920514915158733,0.027246171399997614,0.06094668217016924,0.0,32.893375027924776,32.893375027924776
5,sim_case_0005,oasis_full,1.1548722642158724,0.022081436314966695,0.04620441399641023,1.002916949801147,33.44258398283273,34.44550093263388
5,sim_case_0005,oasis_fast_iter_25,1.1548722642158724,0.022081436314966695,0.04620441399641023,1.002916949801147,4.93574992287904,5.938666872680187
5,sim_case_0005,oasis_fast_iter_50,1.1548722642158724,0.022081436314966695,0.04620441399641023,1.002916949801147,11.117625050246716,12.120542000047863
5,sim_case_0005,oasis_fast_iter_100,1.1548722642158724,0.022081436314966695,0.04620441399641023,1.002916949801147,18.527291947975755,19.5302088977769
5,sim_case_0006,stale,1.5396522732514182,0.1043253438791484,0.2741387009572888,0.0,0.0,0.0
5,sim_case_0006,fresh,1.0,0.07454378807577451,0.1538040236851309,0.0,0.0,0.0
5,sim_case_0006,oasis_no_proj,1.2810493062001571,0.07132451294003765,0.2061664018811294,0.9825000306591392,0.0,0.9825000306591392
5,sim_case_0006,isomer,1.4364236167715918,0.05867296889539746,0.25522349498685076,0.0,55.13366695959121,55.13366695959121
5,sim_case_0006,oasis_full,1.4615858842996274,0.05581424062256537,0.249133775889317,0.9825000306591392,55.21387490443885,56.19637493509799
5,sim_case_0006,oasis_fast_iter_25,1.4615858842996274,0.05581424062256537,0.249133775889317,0.9825000306591392,5.18945895601064,6.171958986669779
5,sim_case_0006,oasis_fast_iter_50,1.4615858842996274,0.05581424062256537,0.249133775889317,0.9825000306591392,8.5370420711115,9.51954210177064
5,sim_case_0006,oasis_fast_iter_100,1.4615858842996274,0.05581424062256537,0.249133775889317,0.9825000306591392,21.331499912776053,22.313999943435192
5,sim_case_0007,stale,1.1414941193548516,0.08640689032071608,0.2224698604140095,0.0,0.0,0.0
5,sim_case_0007,fresh,1.0,0.08432453412484545,0.17548400589721647,0.0,0.0,0.0
5,sim_case_0007,oasis_no_proj,1.1934921016290443,0.13631215057900492,0.24252494744349817,0.9732920443639159,0.0,0.9732920443639159
5,sim_case_0007,isomer,1.11584792470982,0.03040787242834531,0.08421367880664499,0.0,26.07508294750005,26.07508294750005
5,sim_case_0007,oasis_full,1.0942154719052235,0.03474823017132253,0.10322295271022464,0.9732920443639159,24.952958920039237,25.926250964403152
5,sim_case_0007,oasis_fast_iter_25,1.0501596540455147,0.04601699126002017,0.16488482074130006,0.9732920443639159,5.538750090636313,6.512042135000229
5,sim_case_0007,oasis_fast_iter_50,1.04900570203723,0.04649650034596611,0.16488954173537584,0.9732920443639159,8.975291973911226,9.948584018275142
5,sim_case_0007,oasis_fast_iter_100,1.0942154719052235,0.03474823017132253,0.10322295271022464,0.9732920443639159,18.611584091559052,19.58487613592297
10,sim_case_0000,stale,1.7755544953335753,0.15841487694776862,0.4160745083811439,0.0,0.0,0.0
10,sim_case_0000,fresh,1.0,0.03054230559316547,0.1605690944767743,0.0,0.0,0.0
10,sim_case_0000,oasis_no_proj,1.140894493252311,0.10147246231712682,0.36842945347970835,0.9864580351859331,0.0,0.9864580351859331
10,sim_case_0000,isomer,1.1082924312911702,0.029325309926137782,0.12497825692897618,0.0,53.624500054866076,53.624500054866076
10,sim_case_0000,oasis_full,1.0685180577828413,0.02823245070921357,0.1252322637568049,0.9864580351859331,55.77049998100847,56.7569580161944
10,sim_case_0000,oasis_fast_iter_25,1.1448181665561092,0.05658925861565011,0.19740653809478526,0.9864580351859331,13.267457950860262,14.253915986046195
10,sim_case_0000,oasis_fast_iter_50,1.0685180577828413,0.02823245070921357,0.1252322637568049,0.9864580351859331,19.144374993629754,20.130833028815687
10,sim_case_0000,oasis_fast_iter_100,1.0685180577828413,0.02823245070921357,0.1252322637568049,0.9864580351859331,36.034957971423864,37.0214160066098
10,sim_case_0001,stale,1.9863282609134258,0.15313162718494763,0.5939814671270587,0.0,0.0,0.0
10,sim_case_0001,fresh,1.0,0.08232756244701699,0.32357312747722755,0.0,0.0,0.0
10,sim_case_0001,oasis_no_proj,1.0685174076753536,0.0853268343773296,0.3263461988251015,1.0024580406025052,0.0,1.0024580406025052
10,sim_case_0001,isomer,2.000684318214571,0.036457249096818696,0.15876997732111597,0.0,53.948416956700385,53.948416956700385
10,sim_case_0001,oasis_full,1.9352015969642806,0.03975923909375777,0.15970794094965057,1.0024580406025052,52.317499998025596,53.3199580386281
10,sim_case_0001,oasis_fast_iter_25,1.9352015969642806,0.03975923909375777,0.15970794094965057,1.0024580406025052,8.082541986368597,9.085000026971102
10,sim_case_0001,oasis_fast_iter_50,1.9352015969642806,0.03975923909375777,0.15970794094965057,1.0024580406025052,18.48608406726271,19.488542107865214
10,sim_case_0001,oasis_fast_iter_100,1.9352015969642806,0.03975923909375777,0.15970794094965057,1.0024580406025052,29.72633298486471,30.728791025467217
10,sim_case_0002,stale,1.7151109830519564,0.07282731361729235,0.2669311026103248,0.0,0.0,0.0
10,sim_case_0002,fresh,1.0,0.05467896011644966,0.20587314136151358,0.0,0.0,0.0
10,sim_case_0002,oasis_no_proj,1.1268422846240924,0.04161628839105811,0.18114885553865756,0.9701659437268972,0.0,0.9701659437268972
10,sim_case_0002,isomer,2.0425521390344143,0.07591806712881877,0.24345283037555232,0.0,116.44420900847763,116.44420900847763
10,sim_case_0002,oasis_full,1.6437620601729979,0.02620747969450938,0.10771551186456843,0.9701659437268972,118.44170792028308,119.41187386400998
10,sim_case_0002,oasis_fast_iter_25,1.6437620601729979,0.02620747969450938,0.10771551186456843,0.9701659437268972,18.142917077057064,19.11308302078396
10,sim_case_0002,oasis_fast_iter_50,1.6437620601729979,0.02620747969450938,0.10771551186456843,0.9701659437268972,38.2881669793278,39.258332923054695
10,sim_case_0002,oasis_fast_iter_100,1.6437620601729979,0.02620747969450938,0.10771551186456843,0.9701659437268972,65.07033295929432,66.04049890302122
10,sim_case_0003,stale,2.6844924100394745,0.1807481701611297,0.7073397997714047,0.0,0.0,0.0
10,sim_case_0003,fresh,1.0,0.09441086230112124,0.5042707416979116,0.0,0.0,0.0
10,sim_case_0003,oasis_no_proj,1.6134414559309866,0.12143863513834956,0.4614324614803189,1.0209160391241312,0.0,1.0209160391241312
10,sim_case_0003,isomer,1.1762473497747294,0.12413337229240472,0.3149775702668465,0.0,75.81808301620185,75.81808301620185
10,sim_case_0003,oasis_full,1.196802019698746,0.07565540637588734,0.38489945856966024,1.0209160391241312,75.7036249851808,76.72454102430493
10,sim_case_0003,oasis_fast_iter_25,1.2019120725090615,0.07616697670710923,0.32630141399776347,1.0209160391241312,10.46283298637718,11.48374902550131
10,sim_case_0003,oasis_fast_iter_50,1.2019120725090615,0.07616697670710923,0.32630141399776347,1.0209160391241312,18.806915963068604,19.827832002192736
10,sim_case_0003,oasis_fast_iter_100,1.2019120725090615,0.07616697670710923,0.32630141399776347,1.0209160391241312,35.46795900911093,36.48887504823506
10,sim_case_0004,stale,2.4997806393160125,0.15083894536622863,0.7374879293522685,0.0,0.0,0.0
10,sim_case_0004,fresh,1.0,0.05514217753988887,0.23479173718636193,0.0,0.0,0.0
10,sim_case_0004,oasis_no_proj,1.1823617361721792,0.05437183239965489,0.23522224481577902,1.0462920181453228,0.0,1.0462920181453228
10,sim_case_0004,isomer,1.289002101551332,0.06932340817880105,0.2284641436987921,0.0,63.378040911629796,63.378040911629796
10,sim_case_0004,oasis_full,1.242842606936529,0.052117067673779785,0.24138589811975053,1.0462920181453228,61.66920904070139,62.71550105884671
10,sim_case_0004,oasis_fast_iter_25,1.242842606936529,0.052117067673779785,0.24138589811975053,1.0462920181453228,10.516374954022467,11.56266697216779
10,sim_case_0004,oasis_fast_iter_50,1.242842606936529,0.052117067673779785,0.24138589811975053,1.0462920181453228,17.90279196575284,18.949083983898163
10,sim_case_0004,oasis_fast_iter_100,1.242842606936529,0.052117067673779785,0.24138589811975053,1.0462920181453228,32.97999990172684,34.026291919872165
10,sim_case_0005,stale,5.163550494459866,0.18034905271424645,0.5162879267541108,0.0,0.0,0.0
10,sim_case_0005,fresh,1.0,0.03781857800551171,0.23265902791210136,0.0,0.0,0.0
10,sim_case_0005,oasis_no_proj,1.1688797326339921,0.038898565417307976,0.23567188591008148,1.0166249703615904,0.0,1.0166249703615904
10,sim_case_0005,isomer,1.58853432167325,0.022069747140093746,0.1060703114949979,0.0,75.86362503934652,75.86362503934652
10,sim_case_0005,oasis_full,1.2435696539023495,0.028888394709862635,0.18277105736570798,1.0166249703615904,75.13295800890774,76.14958297926933
10,sim_case_0005,oasis_fast_iter_25,1.2435696539023495,0.028888394709862635,0.18277105736570798,1.0166249703615904,8.441540994681418,9.458165965043008
10,sim_case_0005,oasis_fast_iter_50,1.2435696539023495,0.028888394709862635,0.18277105736570798,1.0166249703615904,25.347375078126788,26.36400004848838
10,sim_case_0005,oasis_fast_iter_100,1.2435696539023495,0.028888394709862635,0.18277105736570798,1.0166249703615904,41.697290958836675,42.713915929198265
10,sim_case_0006,stale,3.8914152177420704,0.08413563040867418,0.27096312553136104,0.0,0.0,0.0
10,sim_case_0006,fresh,1.0,0.06465757246840237,0.20711155484368926,0.0,0.0,0.0
10,sim_case_0006,oasis_no_proj,1.7903510920149148,0.06968847669541683,0.2411845626834046,0.9803340071812272,0.0,0.9803340071812272
10,sim_case_0006,isomer,1.9990252896358316,0.027736082982306783,0.08498238253802792,0.0,106.98591696564108,106.98591696564108
10,sim_case_0006,oasis_full,1.9483979043374113,0.03432084042459762,0.1180955031076539,0.9803340071812272,108.10150008182973,109.08183408901095
10,sim_case_0006,oasis_fast_iter_25,1.9483979043374113,0.03432084042459762,0.1180955031076539,0.9803340071812272,14.2484171083197,15.228751115500927
10,sim_case_0006,oasis_fast_iter_50,1.9483979043374113,0.03432084042459762,0.1180955031076539,0.9803340071812272,22.3311249865219,23.311458993703127
10,sim_case_0006,oasis_fast_iter_100,1.9483979043374113,0.03432084042459762,0.1180955031076539,0.9803340071812272,36.2324999878183,37.21283399499953
10,sim_case_0007,stale,2.7206306473144193,0.06809385078592384,0.28655055509932814,0.0,0.0,0.0
10,sim_case_0007,fresh,1.0,0.09491280296781715,0.2137707968547627,0.0,0.0,0.0
10,sim_case_0007,oasis_no_proj,1.144861064954441,0.0871418080884449,0.21943578029087457,1.0220829863101244,0.0,1.0220829863101244
10,sim_case_0007,isomer,2.1993610240040984,0.04111548110873762,0.10274705355592874,0.0,39.58129102829844,39.58129102829844
10,sim_case_0007,oasis_full,2.2473813999443966,0.04129020261681109,0.11079819910792883,1.0220829863101244,39.072749903425574,40.0948328897357
10,sim_case_0007,oasis_fast_iter_25,2.2473813999443966,0.04129020261681109,0.11079819910792883,1.0220829863101244,4.6681249514222145,5.690207937732339
10,sim_case_0007,oasis_fast_iter_50,2.2473813999443966,0.04129020261681109,0.11079819910792883,1.0220829863101244,11.959832976572216,12.98191596288234
10,sim_case_0007,oasis_fast_iter_100,2.2473813999443966,0.04129020261681109,0.11079819910792883,1.0220829863101244,21.002165973186493,22.024248959496617
20,sim_case_0000,stale,1.741714070417334,0.21689868333643067,0.4846984606280007,0.0,0.0,0.0
20,sim_case_0000,fresh,1.0,0.11734659509564041,0.4953735799020381,0.0,0.0,0.0
20,sim_case_0000,oasis_no_proj,1.0374650564746435,0.10116797935392907,0.4901876884280688,0.9611669229343534,0.0,0.9611669229343534
20,sim_case_0000,isomer,1.419370366531062,0.08454220784897833,0.31657671135935117,0.0,26.121667004190385,26.121667004190385
20,sim_case_0000,oasis_full,1.0529280049768521,0.08441654499269861,0.42746887687409996,0.9611669229343534,27.339374995790422,28.300541918724775
20,sim_case_0000,oasis_fast_iter_25,1.0672864311829475,0.07892312837031551,0.4451281364503069,0.9611669229343534,4.031375050544739,4.992541973479092
20,sim_case_0000,oasis_fast_iter_50,1.0529280049768521,0.08441654499269861,0.42746887687409996,0.9611669229343534,10.506457998417318,11.467624921351671
20,sim_case_0000,oasis_fast_iter_100,1.0529280049768521,0.08441654499269861,0.42746887687409996,0.9611669229343534,16.131249954923987,17.09241687785834
20,sim_case_0001,stale,4.4890342280280855,0.14704365290106322,0.40870901747071664,0.0,0.0,0.0
20,sim_case_0001,fresh,1.0,0.08146916952640085,0.34646954858355694,0.0,0.0,0.0
20,sim_case_0001,oasis_no_proj,1.0643398682148872,0.07974757326151544,0.34380820045907345,0.975457951426506,0.0,0.975457951426506
20,sim_case_0001,isomer,1.673917176298825,0.06280298210531338,0.3102627312899672,0.0,70.01812499947846,70.01812499947846
20,sim_case_0001,oasis_full,1.4910572292601025,0.06127068313955579,0.3184374881097922,0.975457951426506,70.03549998626113,71.01095793768764
20,sim_case_0001,oasis_fast_iter_25,1.4910572292601025,0.06127068313955579,0.3184374881097922,0.975457951426506,6.80033303797245,7.775790989398956
20,sim_case_0001,oasis_fast_iter_50,1.4910572292601025,0.06127068313955579,0.3184374881097922,0.975457951426506,14.480834011919796,15.456291963346303
20,sim_case_0001,oasis_fast_iter_100,1.4910572292601025,0.06127068313955579,0.3184374881097922,0.975457951426506,33.34362502209842,34.31908297352493
20,sim_case_0002,stale,1.629877067651449,0.06702173119442782,0.22208576619875653,0.0,0.0,0.0
20,sim_case_0002,fresh,1.0,0.0571248096578356,0.11960635788478757,0.0,0.0,0.0
20,sim_case_0002,oasis_no_proj,1.1642253112065404,0.04336715912154394,0.14439689932455846,1.0389580857008696,0.0,1.0389580857008696
20,sim_case_0002,isomer,1.3118850699814344,0.04457171083593926,0.08822854621577358,0.0,39.416708052158356,39.416708052158356
20,sim_case_0002,oasis_full,1.1432058507262604,0.043579364978508825,0.1023868013625934,1.0389580857008696,39.10658392123878,40.14554200693965
20,sim_case_0002,oasis_fast_iter_25,1.1432058507262604,0.043579364978508825,0.1023868013625934,1.0389580857008696,6.641875021159649,7.6808331068605185
20,sim_case_0002,oasis_fast_iter_50,1.1432058507262604,0.043579364978508825,0.1023868013625934,1.0389580857008696,11.301791993901134,12.340750079602003
20,sim_case_0002,oasis_fast_iter_100,1.1432058507262604,0.043579364978508825,0.1023868013625934,1.0389580857008696,20.572416950017214,21.611375035718083
20,sim_case_0003,stale,2.556268957930509,0.23900746382308477,0.7150799184514967,0.0,0.0,0.0
20,sim_case_0003,fresh,1.0,0.06791233731301712,0.5856615791524599,0.0,0.0,0.0
20,sim_case_0003,oasis_no_proj,1.0629556549439385,0.08155036714211693,0.5678860180328622,1.0469999397173524,0.0,1.0469999397173524
20,sim_case_0003,isomer,1.0869068466400666,0.05984493636628513,0.5248312807170837,0.0,20.745583926327527,20.745583926327527
20,sim_case_0003,oasis_full,1.0243306177083205,0.057334408289624196,0.5321261353061765,1.0469999397173524,19.967167056165636,21.014166995882988
20,sim_case_0003,oasis_fast_iter_25,1.0244794092864105,0.05731362635462219,0.531886686942777,1.0469999397173524,6.330125033855438,7.377124973572791
20,sim_case_0003,oasis_fast_iter_50,1.0243306177083205,0.057334408289624196,0.5321261353061765,1.0469999397173524,7.320999982766807,8.36799992248416
20,sim_case_0003,oasis_fast_iter_100,1.0243306177083205,0.057334408289624196,0.5321261353061765,1.0469999397173524,11.519375024363399,12.566374964080751
20,sim_case_0004,stale,1.777329078652361,0.2751827735203589,0.5872284529344314,0.0,0.0,0.0
20,sim_case_0004,fresh,1.0,0.041168430069838315,0.24659860312580073,0.0,0.0,0.0
20,sim_case_0004,oasis_no_proj,1.53141861668407,0.08524673031216005,0.2815035920024271,1.0074999881908298,0.0,1.0074999881908298
20,sim_case_0004,isomer,1.2768531158331007,0.03494249953475024,0.2091036306128331,0.0,57.146707898937166,57.146707898937166
20,sim_case_0004,oasis_full,1.2075801218334297,0.03313855018513683,0.21135811163060725,1.0074999881908298,57.17008397914469,58.17758396733552
20,sim_case_0004,oasis_fast_iter_25,1.2073783503817328,0.03305436791621338,0.21183597869054338,1.0074999881908298,10.118791949935257,11.126291938126087
20,sim_case_0004,oasis_fast_iter_50,1.2073783503817328,0.03305436791621338,0.21183597869054338,1.0074999881908298,16.443458036519587,17.450958024710417
20,sim_case_0004,oasis_fast_iter_100,1.2073783503817328,0.03305436791621338,0.21183597869054338,1.0074999881908298,29.250624938867986,30.258124927058816
20,sim_case_0005,stale,1.4635646741677366,0.19072072515324728,0.4238502413574373,0.0,0.0,0.0
20,sim_case_0005,fresh,1.0,0.02511668699833569,0.07314844195484904,0.0,0.0,0.0
20,sim_case_0005,oasis_no_proj,1.1986673464843933,0.08240398985605958,0.4011320005225337,1.0220829863101244,0.0,1.0220829863101244
20,sim_case_0005,isomer,1.0977453460951732,0.016963847041037046,0.07122710433995295,0.0,55.05266704130918,55.05266704130918
20,sim_case_0005,oasis_full,1.0225970794426507,0.01663194221974887,0.07077354540549753,1.0220829863101244,55.54458394180983,56.56666692811996
20,sim_case_0005,oasis_fast_iter_25,1.0225970794426507,0.01663194221974887,0.07077354540549753,1.0220829863101244,9.847500012256205,10.86958299856633
20,sim_case_0005,oasis_fast_iter_50,1.0225970794426507,0.01663194221974887,0.07077354540549753,1.0220829863101244,12.96733389608562,13.989416882395744
20,sim_case_0005,oasis_fast_iter_100,1.0225970794426507,0.01663194221974887,0.07077354540549753,1.0220829863101244,38.68370898999274,39.70579197630286
20,sim_case_0006,stale,2.144369058042548,0.12698335162434513,0.40300341939055506,0.0,0.0,0.0
20,sim_case_0006,fresh,1.0,0.049414670998744005,0.15231526792643835,0.0,0.0,0.0
20,sim_case_0006,oasis_no_proj,1.2197548818582205,0.09515920605796675,0.35587391816916836,1.006208942271769,0.0,1.006208942271769
20,sim_case_0006,isomer,1.3624923993352565,0.03538209665084457,0.08402697140973481,0.0,40.30400002375245,40.30400002375245
20,sim_case_0006,oasis_full,1.3578564441335301,0.03917682408097919,0.11263244959794616,1.006208942271769,39.817709010094404,40.82391795236617
20,sim_case_0006,oasis_fast_iter_25,1.304754184404184,0.04241780421637511,0.15230515221468865,1.006208942271769,12.229124899022281,13.23533384129405
20,sim_case_0006,oasis_fast_iter_50,1.3578564441335301,0.03917682408097919,0.11263244959794616,1.006208942271769,15.60987497214228,16.616083914414048
20,sim_case_0006,oasis_fast_iter_100,1.3578564441335301,0.03917682408097919,0.11263244959794616,1.006208942271769,23.913666955195367,24.919875897467136
20,sim_case_0007,stale,3.7287246077562863,0.1479872094605673,0.44302544292558493,0.0,0.0,0.0
20,sim_case_0007,fresh,1.0,0.030807871349569266,0.2407226644144144,0.0,0.0,0.0
20,sim_case_0007,oasis_no_proj,1.0634061438137212,0.038205637076424985,0.20524055583036357,1.0112500749528408,0.0,1.0112500749528408
20,sim_case_0007,isomer,1.0144458245895076,0.03206003453304691,0.24017666888065192,0.0,91.10704204067588,91.10704204067588
20,sim_case_0007,oasis_full,1.0194543140109544,0.031821810260619116,0.24017651281875768,1.0112500749528408,90.53699998185039,91.54825005680323
20,sim_case_0007,oasis_fast_iter_25,1.0194543140109544,0.031821810260619116,0.24017651281875768,1.0112500749528408,10.107750073075294,11.119000148028135
20,sim_case_0007,oasis_fast_iter_50,1.0194543140109544,0.031821810260619116,0.24017651281875768,1.0112500749528408,15.974999987520278,16.98625006247312
20,sim_case_0007,oasis_fast_iter_100,1.0194543140109544,0.031821810260619116,0.24017651281875768,1.0112500749528408,54.02495805174112,55.036208126693964
